"Subject Area Name","ER Diagram Name","Entity Name","Attribute Name","Attribute Definition","Attribute Logical_Data_Type","Attribute Null_Option"
ONS Metadata Model,ONS Metadata Model logical diagram,Role,Role Identifier,"A unique identifier of the role.

dcterms:identifier",VARCHAR(10),Not Null
ONS Metadata Model,,Role,Role Title,"A name given to the role.

dcterms:title",VARCHAR(100),Not Null
ONS Metadata Model,,Role,Role Description,"A free-text account of the distribution.

dcterms:description",VARCHAR(100),Not Null
ONS Metadata Model,,Role,Attribution,??? Not to be used for any attributes ???,VARCHAR(-999),Not Null
ONS Metadata Model,,Role,Role Identifier,A simple alphanumeric code representing a distinct role that can be held in relation to a resource.,VARCHAR(10),Not Null
ONS Metadata Model,,Role,Agent Identifier,A system-assigned unique identifier for ???,VARCHAR(40),Not Null
ONS Metadata Model,,Role,Resource Identifier,A system-assigned unique identifier for ???,VARCHAR(40),Not Null
ONS Metadata Model,,Role,Attribution Start Date,??? Not to be used for any attributes ???,VARCHAR(-999),Not Null
ONS Metadata Model,,Role,Attribution End Date,??? Not to be used for any attributes ???,DATE,Not Null
ONS Metadata Model,,Related Resource,Resource Identifier,"A unique identifier of the resource being described or cataloged.

dcterms:identifier",VARCHAR(40),Not Null
ONS Metadata Model,,Related Resource,Related Resource Identifier,"A unique identifier of the resource being described or cataloged.

dcterms:identifier",VARCHAR(40),Not Null
ONS Metadata Model,,Related Resource,Related Resource Relationship Type,"The nature of the relationship between the described resource and the referenced resource. Choose from a controlled vocabulary. (this vocabularly isn't established yet)

dcterms:type",VARCHAR(10),Not Null
ONS Metadata Model,,Dataset Series,Resource Identifier,"A unique identifier of the resource being described or cataloged.

dcterms:identifier",VARCHAR(40),Not Null
ONS Metadata Model,,Dataset Series,Dataset Series First Identifier,"The identifier of the first resource in an ordered collection or series of resources, to which the current resource belongs.

dcat:first",VARCHAR(40),Not Null
ONS Metadata Model,,Dataset Series,Dataset Series Last Identifier,"The identifier of the last resource in an ordered collection or series of resources, to which the current resource belongs.

dcat: last",VARCHAR(40),Not Null
